"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Romania","ROU","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","0.221692156587625","0.0418627662408504","0.125428856015051","0.294952785542911","0.320374838561117","0.539866353489558","0.324440933914269","0.382259107722942","0.361824422114709","0.488968910703055","0.250882432799348","0.188761988292943","0.209455070926483","0.322160939811897","0.447595561035758","0.593333982604526","0.505235649010302","0.725126907891363","0.751552941147338","0.695182161378929","0.696831453218315","0.895518917076845","1.07039303725877","1.13546041795092","0.783017275073764","1.18046821168381","1.20983221417087","1.22893522754042","1.01843663508641","0.787196879866629","0.873788684869382","1.46152846207192","1.35795970204531","1.98892091330921","2.8313526852393","2.17836275446279","1.89681335356601","0.919323683018148","0.987663823865816","0.926903107070413","1.07335820182838","0.878240708213307","0.501296668161067","0.515611686441337","0.519860910369998","0.745342865477341","0.662526282279252","0.426741395321457","1.07091228361212","0.610515094092648","0.803311548491418","0.772775028710682","0.908476685314086","0.894822347754076","0.971572969536012","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","1.63462887610495","0.517576018977787","1.2014116894775","0.7164711320464","0.778911326251715","0.781121975200743","0.855267069245208","0.85463252981403","0.791878592399619","0.903945048033642","0.983980450719522","0.797948405056533","0.774407280581401","0.84043160369065","1.38224414303329","1.74198212506461","1.18235895029596","0.521732442271865","0.865833561358045","1.36619748726613","1.88860318513603","1.73173609204203","1.09291722853657","1.64853352467449","1.27573793827839","1.29599239822328","1.52882630249416","0.807303463300146","1.07859039860259","1.17944274784141","1.20082070727664","1.2250627078316","2.09762409287269","2.13200874879908","1.12832002078057","1.87691506121993","2.98649992151117","1.0254453533017","0.614704067678785","0.589612385973407","0.551196977194876","0.56558701608937","0.4618704600397","0.481892282968238","0.67794054314475","1.24830537425354","0.982837428183702","1.25954846652895","0.932001109713503","0.848255194231945","0.660724189328242","0.737492522074236","0.540217062207857","0.706751224210291","0.696576314815043","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","2.68696506243861","3.37439267274734","4.7785934752401","3.2653914727829","3.2417928976903","3.69348700861237","4.89888823774216","8.24836667805208","6.7533666900991","6.44908680585529","5.594895465653","4.79579384902854","5.60032897897379","5.84569275421906","9.46485819975339","11.8483252549014","11.9373123288252","12.9437503204745","11.7765993405649","10.9503530928922","12.8625580623756","21.5226862705286","19.8277096947873","16.1606631398052","12.7979574760239","12.3924648992774","11.6842749584649","10.3160436986294","11.3916189658763","8.24437694458257","7.16234194907554","8.4911819438377","12.3544563111879","9.95482512622391","9.03305409442172","8.77671781766756","8.41661870127152","7.66460782677128","5.27603953060711","4.75462393847441","4.02304339060418","3.28988969296705","3.64746482994835","3.11126778712725","3.00960447717643","2.92851470408841","2.72712871259815","2.49698354375164","2.9472220056013","3.55987321888452","2.94438303145193","3.41889601221829","4.30596280563103","4.56670426073719","4.80191043227158","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","0.412515785042795","1.71256770985297","1.09196886413104","1.53529528295657","0.856001521780483","0.634547805029042","0.309153141216738","0.286330966621367","1.42937876469696","1.94724315258543","1.24898180830844","0.740271130855912","0.451961767723934","0.453622078979472","0.626798191533087","1.08759167834106","1.76205209417814","0.857304823924203","0.467770512628442","1.13594410570882","1.08601526211015","1.8767257209455","2.03626592376352","1.66676907646841","1.31930108665335","1.55948737925004","1.73763264298745","1.765639200358","2.12376203969619","2.51668555751175","1.79015966432304","0.767300607309128","1.13583138653368","0.825821221970115","1.00818234950321","1.71316569698924","1.47689812150071","0.91574654806477","0.919470279280829","0.552592672682272","0.474990184758063","0.495327759432305","0.411776831805057","0.186762352569856","0.210432063030793","0.342243527802685","0.504920509685186","0.7376284439436","0.881385356005996","0.675134884608084","0.477200218552086","0.557743453685545","0.974157560593395","1.21884974249119","1.14825718663954","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0659184992862","12.9494491118334","9.41294889278525","9.4044237138852","9.61880592329025","8.46350129969237","8.31816918974764","10.0774710952429","12.0534064918541","8.11494414389096","7.2284745156775","8.84782387799253","11.4187934575223","13.9505956508416","15.1026363996635","16.1008591269578","17.8894281229104","14.1910855038815","15.8928690430692","15.8914994771006","15.6261321511352","14.5905184173521","13.2737067007942","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","5.52266030587905","1.59966509787007","0.700925960084111","2.59734542493011","3.5281279096543","3.14815826368784","3.38794472613618","3.39382135563905","3.46731174792209","3.25629863483333","4.52348628835189","5.36255648559498","5.36627734925961","4.09233657297581","4.42766132346897","5.48571728235056","4.75729626425405","4.09395456953869","6.09364572512477","7.12808525648211","6.16257465162575","4.4484356593987","5.01568296212873","3.84314254056915","4.96843770609707","4.60376362824388","4.86395710492096","3.63466358810968","4.93260860832664","4.06312616343531","3.15790296637005","3.79290438822688","5.68373689793669","10.0120602604199","5.76498473926878","3.9982136432993","2.41614776830098","2.78897288531705","0.708274751430321","0.884712386208453","1.1451276367309","1.42714115084662","1.8644920506097","2.00392030640379","1.03631401405124","0.923293106092249","0.817303151209636","0.628113553207028","0.61320224534224","0.872963520486482","1.11656512694309","0.990634894032257","0.983856997689686","1.22223425065458","1.34404207344864","","",
"Romania","ROU","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","10.478462186053","7.24606426568902","7.8983288449478","8.4094560982589","8.72520849393791","8.79718140601956","9.77569410825456","13.1654106378495","12.8037602172325","13.0455425520108","12.6022264458322","11.8853318588289","12.4024304474652","11.5542439496769","16.3491574188245","20.7569503232621","20.1442552865636","19.1418690641006","19.9554020808235","21.2757621037282","22.6965826144658","30.4751026599917","29.0429688464749","24.4545686994682","21.1444514821265","21.0321765166784","21.0245232230423","17.7525851779376","20.5450166475882","16.7908282932377","14.1850139719146","15.7379781092786","22.6296083905763","24.9136362707222","19.7658938892136","18.5433749736388","17.1929778661504","13.3140962964729","8.50615245286287","7.70844449040896","7.26771639111641","6.65618632754865","6.88690084056387","6.29945441551047","5.45415200777321","6.18769957771422","5.69471608395592","5.54901540275267","6.44472300027515","6.56674191230368","6.00218411476677","6.47754191072101","7.71267111143606","8.60936182584732","8.96235897671081","","",
"Romania","ROU","Merchandise exports to high-income economies (% of total merchandise exports)","TX.VAL.MRCH.HI.ZS","30.2623824891259","30.3213284451154","32.4307374478917","31.504919548326","30.9612246328204","32.4256659565558","36.4282620327668","38.2949499647537","37.0363478476616","36.4574726535042","39.8870486016834","41.6577687951646","40.5912397818593","43.8866512844511","48.0289765721332","42.1887056778766","41.8910574430612","37.5856735091527","41.1878250899821","43.4245125754956","41.2158261446583","37.8196636705721","38.0343691497612","41.5981677234698","43.0277041101411","40.2619617896622","39.837044978598","46.914400035989","44.5037593747195","46.1804135228975","48.2471824540521","49.6756486805092","57.4864723971818","59.6430980560495","67.9427235534775","67.7450968230142","69.3527287949349","74.3519423842797","81.2980106006685","80.5822789570548","78.6922914417843","83.0965010890185","84.7205784624788","83.3526623853242","81.6558191920005","77.9429643099285","77.1511569375442","77.8762528629688","75.2416566467877","78.8729805983544","77.9208843484117","77.2423829061479","76.4471755347084","76.5580259545375","77.5658617890385","","",
"Romania","ROU","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","717000000","792500000","818000000","915000000","1000000000","1101500000","1186200000","1395300000","1468500000","1633200000","1850800000","2107300000","2601000000","3690960000","4874450000","5341450000","6137650000","7020950000","8086400000","9724170000","11400000000","11180000000","10120000000","10160000000","10720000000","10175000000","9760000000","10490000000","11390000000","10490000000","4960000000","4400000000","4500000000","4892000000","6151000000","7910000000","8085000000","8431000000","8300000000","8518120418","10411984164","11393838165","13876553621","17662278129","23553215093","27687537416.5962","32457880300.3012","40488203417.521","49534992451.6092","40567110352.516","49579100133.1326","63035392655.616","57840925120","65834979480","69747047100","60589905950","63519788570",
"Romania","ROU","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","2.90865721902624","3.41625543898819","4.90402233125515","3.62857960423499","3.51311033909674","3.92381784745362","4.92946382313723","7.58050333204945","5.84777185074915","5.71285871079925","4.19440673364105","3.81575685930558","4.84859665102479","5.00958908926644","8.38060008220304","9.18262999782744","9.69218261474519","10.6322035539907","10.2008144506173","10.3144053878674","10.8448075646981","18.391858398531","16.0906697489244","13.5751790354582","11.8427398328556","10.7175424725207","11.0928312347017","9.64448948138526","9.48507884998855","6.31200247315739","6.67690379081477","8.01412538842501","11.1705352893373","10.0938247378426","10.5412689135658","9.64880723474464","9.56648003767464","8.75324923091599","6.79337596532352","5.89929697801617","4.86286153611671","4.09523642239865","4.58057578120833","3.77566492222682","4.0042580544576","4.1462957709562","4.87598185479366","3.90791709437407","4.09005813738087","4.41784406285302","3.74748593321598","4.69796496708269","5.02023124837154","5.69758500684247","5.96135503542015","","",
